kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Norddjurs Kommune;38099;74564;267;2017;6.6;6.4;Jan Petersen;Jan Petersen;0;S;S;0;0
Favrskov Kommune;47915;56972;476;2017;7.5;7.2;Niels Borring;Niels Borring;0;S;S;0;0
Odder Kommune;22331;59158;292;2017;7.2;7.3;Uffe Jensen;Uffe Jensen;0;V;V;0;0
Randers Kommune;98118;63530;449;2017;6.6;6.6;Claus Jensen;Torben Hansen;1;V;S;1;1
Silkeborg Kommune;91237;58003;379;2017;7.4;7.2;Steen Vindum;Steen Vindum;0;V;V;0;0
Samsø Kommune;3724;82388;194;2017;6.8;6.8;Marcel Meijer;Marcel Meijer;0;S;S;0;0
Skanderborg Kommune;60401;62136;436;2017;7.5;7.4;Jørgen Gaarde;Jørgen Gaarde;0;S;S;0;0
Aarhus Kommune;335684;63473;582;2017;7.4;7.3;Jacob Bundsgaard;Jacob Bundsgaard;0;S;S;0;0
Ikast-Brande Kommune;40981;66564;368;2017;6.7;6.6;Carsten kissmeyer;Ib Lauritzen;1;V;V;0;0
Ringkøbing-Skjern Kommune;57022;61195;243;2017;6.9;6.9;Iver Enevoldsen;Hans Østergaard;1;V;V;0;0
Hedensted Kommune;46524;63679;263;2017;7.2;6.9;Kirsten Terkilsen;Kasper Glyngø;1;V;S;1;1
Skive Kommune;46540;64472;264;2017;7.2;7;Peder Kirkegaard;Peder Kirkegaard;0;V;V;0;0
Viborg Kommune;96477;59457;393;2017;7.3;7;Torsten Nielsen;Ulrik Wilbek;1;K;V;1;0
Morsø Kommune;20665;68910;419;2017;6.3;6.3;Hans Bertelsen;Hans Bertelsen;0;V;V;0;0
Thisted Kommune;43826;64303;281;2017;6.8;6.9;Lene Jensen;Ulla Vestergaard;1;C;S;1;1
Brønderslev Kommune;36128;60571;1042;2017;6.9;6.8;Mikael Klitgaard;Mikael Klitgaard;0;V;V;0;0
Frederikshavn Kommune;60356;66731;1235;2017;6.8;6.7;Birgit Hansen;Birgit Hansen;0;S;S;0;0
Vesthimmerlands Kommune;37285;65464;248;2017;6.8;6.7;Knud Kristensen ;Per Laursen;1;K;V;1;0
Læsø Kommune;1793;89715;157;2017;5.5;5.7;Torben Johansen;Karsten Nielsen;1;V;O;1;0
Rebild Kommune;29391;60332;396;2017;7.5;7.4;Leon Sebbelin;Leon Sebbelin;0;B;B;0;0
Mariagerfjord Kommune;42066;66689;423;2017;7.1;6.8;Mogens Jespersen;Mogens Jespersen;0;V;V;0;0
Jammerbugt Kommune;38581;61849;355;2017;6.7;6.7;Mogens Gade;Mogens Gade;0;V;V;0;0
Aalborg Kommune;211937;66722;375;2017;7.2;7.1;Thomas Larsen;Thomas Larsen;0;S;S;0;0
Hjørring Kommune;65307;62214;850;2017;6.9;6.7;Arne Boelt;Arne Boelt;0;S;S;0;0
Københavns Kommune;613288;69256;647;2018;6.9;7;Frank Jensen;Frank Jensen;0;S;S;0;0
Frederiksberg Kommune;104410;67244;707;2018;7.6;7.7;Jørgen Glenthøj;Jørgen Glenthøj;0;C;C;0;0
Ballerup Kommune;48295;79247;995;2018;7.3;7.2;Jesper Würtzen;Jesper Würtzen;0;S;S;0;0
Brøndby Kommune;35538;79678;793;2018;6.7;6.4;Kent Max Magelund;Kent Max Magelund;0;S;S;0;0
Dragør Kommune;14272;66548;770;2018;7.9;7.6;Eik Dahl Bidstrup;Eik Dahl Bidstrup;0;V;V;0;0
Gentofte Kommune;75803;58893;631;2018;8.3;8.1;Hans Toft;Hans Toft;0;C;C;0;0
Gladsaxe Kommune;69484;69693;605;2018;7.1;7.3;Trine Græse;Trine Græse;0;S;S;0;0
Glostrup Kommune;22663;75819;2056;2018;6.3;6.8;John Engelhardt;John Engelhardt;0;V;V;0;0
Herlev Kommune;28572;70328;674;2018;6.7;6.8;Thomas Gyldal Petersen;Thomas Gyldal Petersen;0;S;S;0;0
Albertslund Kommune;27743;83716;603;2018;6.1;6.4;Steen Christiansen;Steen Christiansen;0;S;S;0;0
Hvidovre Kommune;53282;73965;627;2018;6.8;6.8;Helle Adelborg;Helle Adelborg;0;S;S;0;0
Høje-Taastrup Kommune;50596;74946;456;2018;6.2;6.4;Michael Ziegler;Michael Ziegler;0;C;C;0;0
Lyngby-Taarbæk Kommune;55472;63929;677;2018;8.4;8.1;Sofia Osmani;Sofia Osmani;0;C;C;0;0
Rødovre Kommune;39343;80540;511;2018;6.8;6.9;Erik Nielsen;Erik Nielsen;0;S;S;0;0
Ishøj Kommune;22988;83861;407;2018;5.9;6.1;Ole Bjørstorp;Ole Bjørstorp;0;S;S;0;0
Tårnby Kommune;43063;70472;574;2018;6.6;6.7;Henrik Zimino;Allan Andersen;1;S;S;0;0
Vallensbæk Kommune;16280;68975;691;2018;7;7.1;Henrik Rasmussen;Henrik Rasmussen;0;C;C;0;0
Furesø Kommune;40911;70150;607;2018;7.7;7.7;Ole Christensen;Ole Christensen;0;S;S;0;0
Allerød Kommune;25235;66901;783;2018;8.2;8;Jørgen Johansen;Karsten Längerich;1;C;V;1;0
Fredensborg Kommune;40779;66682;630;2018;7.7;7.6;Thomas Pedersen;Thomas Pedersen;0;S;S;0;0
Helsingør Kommune;62686;71328;866;2018;7;7.2;Benedikte Kiær;Benedikte Kiær;0;C;C;0;0
Hillerød Kommune;50650;68225;641;2018;7.6;7.6;Dorte Meldgaard;Kirsten Jensen;1;C;S;1;1
Hørsholm Kommune;25028;65424;626;2018;8.2;8.2;Morten Slotved;Morten Slotved;0;C;C;0;0
Rudersdal Kommune;55989;64203;542;2018;8.2;8.1;Jens Ive;Jens Ive;0;V;V;0;0
Egedal Kommune;43000;67713;1230;2018;7.1;7.3;Karsten Søndergaard;Karsten Søndergaard;0;V;V;0;0
Frederikssund Kommune;45189;67857;683;2018;7.1;7.2;John Andersen;John Andersen ;0;V;V;0;0
Halsnæs Kommune;31168;73002;557;2018;6.5;6.7;Steen Hasselriis;Steffen Jensen;1;V;S;1;1
Gribskov Kommune;41217;68338;449;2018;6.8;7;Kim Valentin ;Anders Frost;1;V;Lokal;1;1
Bornholms Kommune;39632;66890;359;2018;6.7;6.7;Winni Grosbøll;Winni Grosbøll;0;S;S;0;0
Greve Kommune;49974;67577;585;2018;6.7;6.9;Pernille Beckmann;Pernille Beckmann;0;V;V;0;0
Køge Kommune;60356;66811;452;2018;7;7.1;Flemming Christensen;Maria Stærke;1;C;S;1;1
Roskilde Kommune;87382;73989;487;2018;7.6;7.6;Joy Mogensen;Joy Mogensen;0;S;S;0;0
Solrød Kommune;22518;64473;686;2018;7.7;7.3;Niels Hørup;Niels Hørup;0;V;V;0;0
Odsherred Kommune;33083;79033;760;2018;6.3;6.5;Thomas Adelskov;Thomas Adelskov;0;S;S;0;0
Holbæk Kommune;70983;58667;1181;2018;6.6;6.8;Søren Kjærsgaard;Christina Hansen;1;V;S;1;1
Faxe Kommune;36139;63934;845;2018;6.5;6.6;Erik Buhl;Erik Buhl;0;V;V;0;0
Kalundborg Kommune;48982;69771;253;2018;6;6.5;Martin Damm;Martin Damm;0;V;V;0;0
Ringsted Kommune;34473;67553;369;2018;6.9;7;Henrik Hvidesten;Henrik Hvidesten;0;V;V;0;0
Slagelse Kommune;78968;69384;346;2018;6.8;6.6;Sten Knuth;John Dyrby;1;V;S;1;1
