"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"37";2018;"Brøndby Kommune";0,00247565356502272;0,3;6,7;6,4;35538;79678;0;0;8;"01-01-2018";2,12359724324572
"38";2018;"Herning Kommune";0,00179882028379732;0,3;7,3;7;88733;61048;0;0;9;"01-01-2018";1,54301468094604
"39";2018;"Nyborg Kommune";0,00126359241434651;0,3;7;6,7;32032;59216;0;0;10;"01-01-2018";1,08390018926894
"40";2018;"Skanderborg Kommune";0,00164687790608225;0,3;7,7;7,4;61158;64734;0;0;11;"01-01-2018";1,41267963770466
"41";2019;"Herning Kommune";0,00199807005430259;0,3;7,2;6,9;88917;62527;0;0;6;"01-01-2019";1,71392965440617
"42";2019;"Jammerbugt Kommune";0,000858020750955957;0,3;7;6,7;38460;68966;0;0;7;"01-01-2019";0,736003828290477
"43";2019;"Kerteminde Kommune";0,000682686353648684;0,3;7,2;6,9;23773;69186;1;1;8;"01-01-2019";0,585603284357967
"44";2019;"Varde Kommune";0,000561251903259032;0,3;7,1;6,8;50129;66978;0;0;9;"01-01-2019";0,481437714616728
"45";2019;"Vejen Kommune";0,000845049571251466;0,3;7;6,7;42863;62294;0;0;10;"01-01-2019";0,724877246667232
"46";2018;"Gentofte Kommune";0,000837253715590466;0,200000000000001;8,3;8,1;75803;58893;0;0;12;"01-01-2018";0,718190019575226
"47";2016;"Assens Kommune";0,00136205185479687;0,2;7;6,8;41224;63227;0;0;14;"01-01-2016";1,1683579661025
"48";2016;"Fanø Kommune";0,000626717727997894;0,2;7,9;7,7;3290;70175;1;1;15;"01-01-2016";0,537593812911918
"49";2016;"Haderslev Kommune";0,00200938853532002;0,2;7;6,8;56029;61217;0;0;16;"01-01-2016";1,72363856336902
"50";2016;"Hedensted Kommune";0,00222296554103558;0,2;7;6,8;46206;60304;1;1;17;"01-01-2016";1,90684333279485
"51";2016;"Ikast-Brande Kommune";0,00266079650505281;0,2;6,7;6,5;40798;64977;1;0;18;"01-01-2016";2,28241148228513
"52";2016;"Jammerbugt Kommune";0,00148257965884835;0,2;7;6,8;38466;60692;0;0;19;"01-01-2016";1,27174582134784
"53";2016;"Lemvig Kommune";0,000228675978470119;0,2;7;6,8;20399;65762;0;0;20;"01-01-2016";0,196156556125899
"54";2016;"Nordfyns Kommune";0,00099744637752797;0,2;6,7;6,5;29298;64842;0;0;21;"01-01-2016";0,855602095353912
"55";2016;"Struer Kommune";0,00191150190401723;0,2;6,9;6,7;21474;66711;1;1;22;"01-01-2016";1,63967213796842
"56";2016;"Tårnby Kommune";0,00241196715164288;0,2;6,7;6,5;42860;69046;1;0;23;"01-01-2016";2,06896751079993
"57";2016;"Vesthimmerlands Kommune";0,00204115553392786;0,2;6,9;6,7;37296;64999;1;1;24;"01-01-2016";1,75088805886504
"58";2017;"Fredensborg Kommune";0,00331009337318201;0,2;7,7;7,5;40504;63890;0;0;12;"01-01-2017";2,83937351392327
"59";2017;"Silkeborg Kommune";0,00198659800347879;0,2;7,4;7,2;91237;58003;0;0;13;"01-01-2017";1,70408901440388
"60";2017;"Skive Kommune";0,00264650150245908;0,2;7,2;7;46540;64472;0;0;14;"01-01-2017";2,27014933521854
"61";2017;"Varde Kommune";0,00226679281460609;0,2;7;6,8;50452;66171;0;0;15;"01-01-2017";1,9444380425912
"62";2018;"Favrskov Kommune";0,00272097415206563;0,2;7,3;7,1;48271;60181;0;0;13;"01-01-2018";2,33403142099827
"63";2018;"Horsens Kommune";0,0029072724808575;0,2;7;6,8;89598;61606;0;0;14;"01-01-2018";2,49383674393734
"64";2018;"Ikast-Brande Kommune";0,00439023091568615;0,2;6,8;6,6;41191;66020;1;0;15;"01-01-2018";3,76590747650819
"65";2018;"Kerteminde Kommune";0,00182665921260543;0,2;7,2;7;23756;68491;1;1;16;"01-01-2018";1,5668947073387
"66";2018;"Mariagerfjord Kommune";0,0013083943952373;0,2;7,2;7;42125;68524;0;0;17;"01-01-2018";1,12233099576619
"67";2018;"Nordfyns Kommune";0,0034003065637871;0,2;7;6,8;29516;67645;0;0;18;"01-01-2018";2,9167577188783
"68";2018;"Odder Kommune";0,00162639586838191;0,2;7,4;7,2;22626;63149;0;0;19;"01-01-2018";1,39511029787011
"69";2018;"Rebild Kommune";0,000886700237529622;0,2;7,5;7,3;29827;62887;0;0;20;"01-01-2018";0,760604878892231
"70";2018;"Slagelse Kommune";0,00119913800584225;0,2;6,8;6,6;78968;69384;1;1;21;"01-01-2018";1,02861167630875
"71";2018;"Struer Kommune";0,00116344252735739;0,2;7,2;7;21270;68639;1;1;22;"01-01-2018";0,997992359948111
"72";2018;"Aabenraa Kommune";0,002217208723785;0,2;6,8;6,6;59089;65813;0;0;23;"01-01-2018";1,90190517770889
"73";2019;"Billund Kommune";0,00220051076933119;0,2;7;6,8;26629;67751;0;0;11;"01-01-2019";1,88758179638165
"74";2019;"Holstebro Kommune";0,00441635741665521;0,2;7,4;7,2;58504;59828;0;0;12;"01-01-2019";3,78831859501744
"75";2019;"Horsens Kommune";0,00245700724507047;0,2;7;6,8;90370;61871;0;0;13;"01-01-2019";2,10760256846297
"76";2019;"Mariagerfjord Kommune";0,000872037172743079;0,2;7;6,8;42055;67653;0;0;14;"01-01-2019";0,748027010809969
"77";2019;"Randers Kommune";0,00479260315804535;0,2;6,7;6,5;97909;63027;1;1;15;"01-01-2019";4,11105939788567
"78";2019;"Sønderborg Kommune";0,000735056566752324;0,2;7;6,8;74561;64524;0;0;16;"01-01-2019";0,630526064243795
"79";2019;"Thisted Kommune";0,00207877093773182;0,2;6,9;6,7;43660;65831;1;1;17;"01-01-2019";1,78315427290655
"80";2019;"Aabenraa Kommune";0,00376499168136231;0,2;6,7;6,5;59035;64825;0;0;18;"01-01-2019";3,22958190449021
"81";2016;"Skive Kommune";0,00234442459483978;0,199999999999999;7,1;6,9;46639;63528;0;0;25;"01-01-2016";2,01103000716238
"82";2016;"Syddjurs Kommune";0,0019384325689257;0,199999999999999;7,1;6,9;41889;67416;1;1;26;"01-01-2016";1,66277306233295
"83";2016;"Vallensbæk Kommune";0,0028797970436016;0,199999999999999;7,6;7,4;15419;66405;0;0;27;"01-01-2016";2,47026851789879
"84";2017;"Esbjerg Kommune";0,00144278992046759;0,199999999999999;7,1;6,9;115905;61940;1;0;16;"01-01-2017";1,23761447925351
"85";2017;"Furesø Kommune";0,00400294426514057;0,199999999999999;8,1;7,9;40613;68966;0;0;17;"01-01-2017";3,43369586375901
"86";2017;"Hørsholm Kommune";0,00189927502971748;0,199999999999999;8,6;8,4;24977;62732;0;0;18;"01-01-2017";1,62918401599396
"87";2017;"Norddjurs Kommune";0,00299492851971239;0,199999999999999;6,6;6,4;38099;74564;0;0;19;"01-01-2017";2,5690274431111
"88";2018;"Allerød Kommune";0,00109571684075857;0,199999999999999;8,2;8;25235;66901;1;1;24;"01-01-2018";0,939897768931755
"89";2018;"Faaborg-Midtfyn Kommune";0,0027793822580019;0,199999999999999;7,1;6,9;51536;65149;1;1;25;"01-01-2018";2,38413346051701
"90";2018;"Odense Kommune";0,00193982196975734;0,199999999999999;7,1;6,9;202348;62856;0;0;26;"01-01-2018";1,66396488004829
"91";2019;"Faaborg-Midtfyn Kommune";0,00217809510983774;0,199999999999999;6,6;6,4;51809;65106;1;1;19;"01-01-2019";1,86835381013254
"92";2019;"Struer Kommune";0,00233674184113486;0,199999999999999;7,1;6,9;21143;75956;1;1;20;"01-01-2019";2,00443979808838
"93";2016;"Faxe Kommune";0,00251551807571994;0,100000000000001;6,7;6,6;35614;59444;0;0;28;"01-01-2016";2,15779272447783
"94";2016;"Fredensborg Kommune";0,00312798756536478;0,100000000000001;7,7;7,6;40112;66208;0;0;29;"01-01-2016";2,68316450434153
"95";2016;"Faaborg-Midtfyn Kommune";0,00400860698069568;0,100000000000001;6,7;6,6;51236;61068;1;1;30;"01-01-2016";3,43855329910942
"96";2016;"Læsø Kommune";0,00145090141594582;0,100000000000001;6,7;6,6;1817;81522;1;1;31;"01-01-2016";1,24457245983671
"97";2016;"Silkeborg Kommune";0,0011763537349883;0,100000000000001;7,2;7,1;90719;56646;0;0;32;"01-01-2016";1,00906749797201
